# Swiss Law Collection — all cantonal acts: instrument type × canton × enactment year × legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
instrument_type,canton,year,domain,count
anderes,SO,1972,educ,2
anderes,SO,1972,sante,1
anderes,SZ,1972,infra,1
anderes,TI,1972,eco,1
anderes,UR,1972,eco,1
anderes,VD,1972,etat,1
anderes,VD,1972,fin,1
anderes,VD,1972,infra,1
anderes,VS,1972,infra,1
anderes,ZG,1972,autres,1
anderes,ZH,1972,etat,1
anderes,BE,1973,sante,1
anderes,BS,1973,educ,2
anderes,BS,1973,etat,2
anderes,BS,1973,sante,1
anderes,FR,1973,autres,1
anderes,FR,1973,educ,2
anderes,FR,1973,etat,1
anderes,FR,1973,infra,3
anderes,GL,1973,autres,1
anderes,GL,1973,eco,1
anderes,GL,1973,etat,1
anderes,GR,1973,educ,1
anderes,LU,1973,etat,1
anderes,NE,1973,eco,1
anderes,NE,1973,educ,3
anderes,OW,1973,autres,1
anderes,OW,1973,etat,1
anderes,SG,1973,sante,1
anderes,SO,1973,educ,4
anderes,SO,1973,etat,2
anderes,SO,1973,fin,1
anderes,SO,1973,infra,3
anderes,SO,1973,sante,1
anderes,VD,1973,fin,1
anderes,VS,1973,sante,1
anderes,ZH,1973,educ,1
anderes,AG,1974,infra,1
anderes,BL,1974,sante,1
anderes,BS,1974,educ,1
anderes,BS,1974,etat,1
anderes,BS,1974,sante,1
anderes,FR,1974,autres,1
anderes,FR,1974,educ,1
anderes,FR,1974,etat,2
anderes,GL,1974,eco,1
anderes,GL,1974,fin,1
anderes,GL,1974,infra,1
anderes,GR,1974,autres,1
anderes,NE,1974,eco,2
anderes,NE,1974,etat,1
anderes,NE,1974,sante,1
anderes,SG,1974,eco,1
anderes,SG,1974,etat,2
anderes,SH,1974,educ,1
anderes,SH,1974,sante,1
anderes,SO,1974,autres,1
anderes,SO,1974,educ,1
anderes,SO,1974,etat,1
anderes,SZ,1974,educ,3
anderes,TI,1974,sante,1
anderes,UR,1974,infra,1
anderes,VD,1974,etat,1
anderes,VD,1974,infra,1
anderes,ZH,1974,autres,1
anderes,ZH,1974,sante,1
anderes,AG,1975,eco,1
anderes,BL,1975,fin,1
anderes,BS,1975,educ,1
anderes,BS,1975,infra,2
anderes,FR,1975,sante,1
anderes,GL,1975,eco,1
anderes,GL,1975,etat,1
anderes,GR,1975,eco,1
anderes,GR,1975,infra,1
anderes,LU,1975,sante,1
anderes,NE,1975,educ,1
anderes,NE,1975,etat,1
anderes,NE,1975,infra,1
anderes,NE,1975,sante,1
anderes,NW,1975,etat,1
anderes,SH,1975,sante,1
anderes,SO,1975,educ,7
anderes,SO,1975,etat,1
anderes,SO,1975,infra,4
anderes,SO,1975,sante,1
anderes,SZ,1975,autres,1
anderes,SZ,1975,educ,3
anderes,SZ,1975,etat,2
anderes,VD,1975,etat,1
anderes,ZG,1975,educ,1
anderes,ZG,1975,fin,1
anderes,ZG,1975,sante,1
anderes,ZH,1975,etat,1
anderes,AR,1976,infra,1
anderes,BL,1976,etat,2
anderes,BL,1976,sante,1
anderes,GL,1976,autres,1
anderes,GL,1976,educ,1
anderes,GL,1976,etat,1
anderes,GL,1976,infra,1
anderes,GR,1976,educ,1
anderes,NE,1976,eco,4
anderes,NE,1976,etat,1
anderes,NE,1976,sante,2
anderes,SG,1976,educ,2
anderes,SG,1976,etat,1
anderes,SH,1976,etat,1
anderes,SH,1976,sante,1
anderes,SO,1976,eco,1
anderes,SO,1976,educ,5
anderes,SO,1976,etat,2
anderes,SZ,1976,educ,3
anderes,TI,1976,etat,1
anderes,UR,1976,educ,1
anderes,VD,1976,eco,1
anderes,VD,1976,educ,1
anderes,VD,1976,fin,1
anderes,VD,1976,infra,1
anderes,VS,1976,fin,1
anderes,VS,1976,infra,1
anderes,ZG,1976,educ,4
anderes,ZH,1976,educ,1
anderes,ZH,1976,infra,1
anderes,BL,1977,etat,1
anderes,BS,1977,educ,1
anderes,BS,1977,etat,1
anderes,BS,1977,infra,1
anderes,BS,1977,sante,2
anderes,FR,1977,autres,2
anderes,FR,1977,etat,2
anderes,GL,1977,autres,2
anderes,GL,1977,etat,1
anderes,GR,1977,autres,1
anderes,GR,1977,etat,1
anderes,OW,1977,educ,1
anderes,OW,1977,infra,1
anderes,SG,1977,etat,2
anderes,SH,1977,eco,1
anderes,SO,1977,educ,1
anderes,SO,1977,etat,1
anderes,SO,1977,sante,1
anderes,TG,1977,eco,1
anderes,VD,1977,etat,1
anderes,VD,1977,infra,1
anderes,VS,1977,etat,1
anderes,ZG,1977,infra,1
anderes,BL,1978,sante,1
anderes,BS,1978,educ,1
anderes,BS,1978,infra,1
anderes,FR,1978,fin,1
anderes,FR,1978,infra,1
anderes,GL,1978,etat,3
anderes,GL,1978,infra,2
anderes,JU,1978,autres,1
anderes,JU,1978,eco,1
anderes,JU,1978,etat,1
anderes,JU,1978,infra,1
anderes,JU,1978,sante,1
anderes,NE,1978,educ,11
anderes,NE,1978,sante,1
anderes,NW,1978,eco,1
anderes,SG,1978,fin,1
anderes,SH,1978,autres,2
anderes,SH,1978,etat,1
anderes,SO,1978,autres,1
anderes,SO,1978,educ,4
anderes,SO,1978,etat,2
anderes,SO,1978,infra,10
anderes,SO,1978,sante,1
anderes,SZ,1978,educ,2
anderes,TG,1978,eco,1
anderes,TG,1978,etat,2
anderes,VD,1978,fin,1
anderes,VS,1978,infra,2
anderes,VS,1978,sante,1
anderes,ZG,1978,etat,1
anderes,AR,1979,etat,1
anderes,BL,1979,sante,2
anderes,FR,1979,educ,2
anderes,FR,1979,infra,3
anderes,FR,1979,sante,1
anderes,GR,1979,educ,1
anderes,LU,1979,infra,1
anderes,NE,1979,autres,1
anderes,NE,1979,educ,1
anderes,NE,1979,etat,1
anderes,NE,1979,fin,1
anderes,NE,1979,infra,11
anderes,NE,1979,sante,1
anderes,NW,1979,sante,2
anderes,OW,1979,educ,1
anderes,OW,1979,etat,1
anderes,SG,1979,etat,1
anderes,SH,1979,autres,1
anderes,SO,1979,autres,1
anderes,SO,1979,eco,1
anderes,SO,1979,educ,3
anderes,SO,1979,etat,1
anderes,SO,1979,infra,2
anderes,ZH,1979,fin,1
anderes,BL,1980,etat,1
anderes,BL,1980,fin,1
anderes,BS,1980,educ,1
anderes,BS,1980,sante,2
anderes,FR,1980,educ,1
anderes,FR,1980,etat,1
anderes,FR,1980,infra,1
anderes,FR,1980,sante,1
anderes,GL,1980,fin,1
anderes,GL,1980,infra,4
anderes,GR,1980,infra,1
anderes,JU,1980,etat,1
anderes,NE,1980,educ,2
anderes,NE,1980,etat,2
anderes,NE,1980,fin,2
anderes,NE,1980,sante,1
anderes,OW,1980,educ,1
anderes,SG,1980,educ,1
anderes,SG,1980,etat,1
anderes,SO,1980,educ,2
anderes,SO,1980,infra,1
anderes,SO,1980,sante,2
anderes,TG,1980,etat,1
anderes,VS,1980,eco,1
anderes,VS,1980,etat,1
anderes,ZH,1980,etat,2
anderes,ZH,1980,sante,2
anderes,AG,1981,infra,1
anderes,BL,1981,sante,2
anderes,BS,1981,educ,2
anderes,BS,1981,infra,1
anderes,FR,1981,educ,1
anderes,FR,1981,etat,1
anderes,FR,1981,infra,4
anderes,GL,1981,educ,1
anderes,GL,1981,etat,2
anderes,GL,1981,infra,2
anderes,GR,1981,autres,1
anderes,JU,1981,etat,2
anderes,LU,1981,etat,1
anderes,NE,1981,educ,7
anderes,NE,1981,etat,6
anderes,NW,1981,autres,1
anderes,NW,1981,eco,1
anderes,SG,1981,etat,1
anderes,SH,1981,educ,2
anderes,SO,1981,autres,1
anderes,SO,1981,eco,1
anderes,SO,1981,infra,2
anderes,VD,1981,infra,1
anderes,VS,1981,etat,1
anderes,VS,1981,infra,1
anderes,ZH,1981,etat,1
anderes,ZH,1981,sante,1
anderes,BL,1982,infra,2
anderes,BS,1982,educ,1
anderes,BS,1982,sante,2
anderes,FR,1982,educ,1
anderes,FR,1982,etat,1
anderes,FR,1982,fin,1
anderes,FR,1982,infra,3
anderes,FR,1982,sante,1
anderes,GE,1982,etat,2
anderes,GL,1982,sante,1
anderes,GR,1982,autres,1
anderes,GR,1982,infra,1
anderes,JU,1982,eco,1
anderes,JU,1982,etat,1
anderes,LU,1982,autres,1
anderes,LU,1982,eco,1
anderes,LU,1982,etat,1
anderes,NE,1982,sante,1
anderes,NW,1982,etat,1
anderes,OW,1982,infra,1
anderes,SH,1982,educ,1
anderes,SH,1982,sante,2
anderes,SO,1982,educ,2
anderes,SO,1982,etat,2
anderes,SO,1982,infra,1
anderes,SZ,1982,educ,1
anderes,TG,1982,sante,1
anderes,TI,1982,infra,1
anderes,UR,1982,infra,2
anderes,VD,1982,fin,1
anderes,VS,1982,eco,1
anderes,VS,1982,infra,1
anderes,VS,1982,sante,1
anderes,ZH,1982,etat,2
anderes,ZH,1982,fin,1
anderes,ZH,1982,sante,1
anderes,BL,1983,etat,1
anderes,BL,1983,sante,1
anderes,BS,1983,sante,1
anderes,FR,1983,etat,1
anderes,FR,1983,fin,1
anderes,FR,1983,infra,1
anderes,FR,1983,sante,2
anderes,GL,1983,etat,1
anderes,GR,1983,educ,1
anderes,NE,1983,educ,13
anderes,NE,1983,etat,6
anderes,NE,1983,infra,9
anderes,NE,1983,sante,1
anderes,OW,1983,infra,1
anderes,SG,1983,educ,1
anderes,SG,1983,etat,2
anderes,SH,1983,sante,2
anderes,SO,1983,educ,2
anderes,SO,1983,etat,1
anderes,SO,1983,infra,1
