# Swiss Law Collection — cantonal acts of type 'Parliamentary ordinance (decree)' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AI,1994,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Alcool",1
AI,1995,"Etat.Dispositions générales.Droits fondamentaux, droits politiques.égalité entre hommes et femmes",1
AI,1995,Droit pénal.Procédure pénale.Entraide judiciaire,1
AI,1995,"Finances, Impôts, monopoles, entreprises d'état.Finances.Budget, comptes",1
AI,1995,"Santé, travail, droit des assurances sociales, logement, homes",1
AI,1995,Non classé,1
AI,1996,Droit pénal,1
AI,1996,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Routes.Chemins pédestres et de randonnée",1
AI,1996,Economie,1
AI,1996,Economie.Agriculture.Zones de montagne,2
AI,1996,Non classé,1
AI,1997,Etat.Dispositions générales.Droit de cité,1
AI,1997,"Enseignement, sciences, documentation et culture",2
AI,1997,Economie.Agriculture.Production animale.Commerce du bétail,1
AI,1997,Non classé,1
AI,1998,Etat,1
AI,1998,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
AI,1998,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",2
AI,1998,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.Prestations complémentaires",1
AI,1998,Non classé,1
