# Swiss Law Collection — cantonal acts of type 'Ordinance' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,2001,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecoles moyennes supérieures, écoles des culture générale, écoles de degré diplôme",1
AG,2001,"Enseignement, sciences, documentation et culture.Degré secondaire II: Formation professionnelle initiale.Ecoles préparant à la maturité professionnelle",1
AG,2001,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôt anticipé",1
AG,2001,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Bâtiments et terrains publics",1
AG,2001,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Etablissements hospitaliers, cliniques.Hôpitaux cantonaux",1
AG,2001,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Hygiène.Piscines",1
AG,2001,Economie.Agriculture.Mesures d'encouragement,1
AG,2002,Etat.Dispositions générales.Documents d'identité,1
AG,2002,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Traitements, indemnités",1
AG,2002,Etat.Autorités.Gouvernement et administration.Emoluments administratifs,1
AG,2002,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Prud'hommes, Tribunaux des baux à loyer",1
AG,2002,"Enseignement, sciences, documentation et culture",1
AG,2002,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecoles supérieures de commerce, ecoles supérieures d'informatique",1
AG,2002,"Enseignement, sciences, documentation et culture.Degré tertiaire: Hautes écoles.Pédagogie",1
AG,2002,"Enseignement, sciences, documentation et culture.Degré tertiaire: Hautes écoles.Economie",2
AG,2002,"Enseignement, sciences, documentation et culture.Degré tertiaire: Hautes écoles.Autres filières d'études",3
AG,2002,"Enseignement, sciences, documentation et culture.Corps enseignant.Engagement",1
AG,2002,"Enseignement, sciences, documentation et culture.Sport scolaire",1
AG,2002,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Marché du travail.Libre circulation",1
AG,2002,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Limitation de l'admission des fournisseurs de prestations",1
AG,2002,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Aide sociale",1
AG,2002,Economie.Commerce.Commerce itinérant,1
AG,2003,"Droit civil.Dispositions d'introduction du code civil.Droit de la famille.Accueil familial, adoption",1
AG,2003,Droit civil.Dispositions générales d'introduction du code des obligations.Des divers contrats.Courtage matrimonial ou en partenariat,1
AG,2003,"Enseignement, sciences, documentation et culture",1
AG,2003,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole enfantine",1
AG,2003,"Enseignement, sciences, documentation et culture.Degré secondaire II: Formation professionnelle initiale.Ecoles professionnelles.Enseignement ménager",1
AG,2003,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",2
AG,2003,"Défense nationale, protection de la population, police.Sécurité intérieure.Explosifs",1
AG,2003,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",2
AG,2003,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,2003,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Marché du travail.Envoi de travailleurs à l'étranger",1
AG,2003,Economie.Arts et métiers.Services.Crédit à la consommation,1
AG,2004,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Formation, formation continue, perfectionnement",1
AG,2004,Droit pénal.Procédure pénale.Investigation secrète,1
AG,2004,"Enseignement, sciences, documentation et culture",1
AG,2004,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole primaire, degré secondaire I",1
AG,2004,"Enseignement, sciences, documentation et culture.Degré tertiaire: Hautes écoles.Economie",1
AG,2004,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",1
