# Swiss Law Collection — laws without a plausible enactment date (correction template)
# fill corrected_enactment_date (YYYY-MM-DD) and correction_note (source/citation), then run: legalize-ch import-dates undated_laws.csv — corrections are applied to the law files as enactment_date_source: manual_import and improve the statistics on the next regeneration
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
entity,id,title,category_type,languages,raw_dates,enactment_date_source,reason,link,corrected_enactment_date,correction_note
FR,"27.0","ZIVILPROZESS","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/27.0.md,,
FR,"270.51","Einfaches und rasches Verfahren im Bereich des","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/270.51.md,,
FR,"270.52","Verfahren bei der Gewerbegerichtsbarkeit","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/270.52.md,,
FR,"270.53","Verfahren bei der Mietgerichtsbarkeit","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/270.53.md,,
FR,"270.55","Einfaches und rasches Verfahren für Streitigkeiten aus","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/270.55.md,,
FR,"31.14","Verfahren bei straflosem Schwangerschaftsabbruch","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/31.14.md,,
FR,"32.0","STRAFPROZESS","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/32.0.md,,
FR,"32.18","DNA-Profile im Strafverfahren","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/32.18.md,,
FR,"32.5","Ablauf von Fristen","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/32.5.md,,
FR,"32.8","Verfahren bei der Jugendstrafrechtspflege","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/32.8.md,,
FR,"341.2","Gefängnisse","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/341.2.md,,
FR,"35.0","RECHTSHILFE","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/35.0.md,,
FR,"35.5","Polizeitransporte","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/35.5.md,,
FR,"411.0.81","Schulärztliche Betreuung","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/411.0.81.md,,
FR,"411.4.2","Freie öffentliche Schulen der Orientierungsstufe","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/411.4.2.md,,
FR,"411.5.8","Sonderheime für Kinder und Jugendliche","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/411.5.8.md,,
FR,"412.0.71","Verkehrserziehung in der Schule","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/412.0.71.md,,
FR,"412.1.74","Sekretariatskurs am Kollegium Gambach","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/412.1.74.md,,
FR,"413.1.14","Statuten der Vereinigung zur Koordination von Berufsberatung,","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/413.1.14.md,,
FR,"418.1","Schülerversicherung (Krankenversicherung)","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/418.1.md,,
FR,"418.2","Schülerversicherung (Unfallversicherung)","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/418.2.md,,
FR,"419.0","Schulsport","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/419.0.md,,
FR,"420.14","Statuten der Vereinigung zur Koordination von Berufsberatung,","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/420.14.md,,
FR,"420.4","Berufsberatung","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/420.4.md,,
FR,"420.5","Regionales Schulabkommen über die gegenseitige Aufnahme von","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/420.5.md,,
FR,"420.6","Anerkennung von Ausbildungsabschlüssen","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/420.6.md,,
FR,"420.71","Verkehrserziehung in der Schule","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/420.71.md,,
FR,"424.0","Handelsschulen","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/424.0.md,,
FR,"426.1","Fachhochschule Freiburg für Technik und Wirtschaft","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/426.1.md,,
FR,"428.43","Hochschule für Technik und Architektur","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/428.43.md,,
FR,"428.44","Hochschule für Wirtschaft","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/428.44.md,,
FR,"428.84","Krankenpflegeschule","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/428.84.md,,
FR,"429.0","Landwirtschaftliche Berufsbildung","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/429.0.md,,
FR,"464.4","Sportanlagen in den Schulen","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/464.4.md,,
FR,"481.1.14","Ablieferung von Gerichtsakten an das Staatsarchiv","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/481.1.14.md,,
FR,"481.4.22","Verleihung eines Bachelor of Arts in Music durch die Musikhochschule","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/481.4.22.md,,
