# Swiss Law Collection — cantonal acts of type 'Act' by canton, year and legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act; this is the unit the site's year chart uses, so the two agree for any year
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
BE,1965,0,0,0,1,0,0,0,1
FR,1965,2,3,0,0,0,0,0,5
GE,1965,2,3,0,1,1,0,0,7
GL,1965,0,1,0,0,0,0,2,3
GR,1965,1,0,1,0,0,0,0,2
NW,1965,1,1,0,0,0,0,0,2
SG,1965,1,0,0,1,0,0,0,2
SH,1965,1,0,0,0,0,0,0,1
SZ,1965,0,1,0,1,0,0,1,3
TI,1965,2,0,0,0,0,0,0,2
VD,1965,0,3,0,0,0,0,0,3
VS,1965,1,0,0,1,0,0,0,2
ZG,1965,1,0,1,0,0,0,0,2
AG,1966,0,1,0,0,0,0,0,1
AI,1966,2,0,0,0,0,0,0,2
AR,1966,0,2,0,0,0,0,0,2
BS,1966,0,0,0,1,0,0,0,1
FR,1966,1,1,0,0,0,0,0,2
GL,1966,0,1,0,0,0,0,0,1
LU,1966,1,0,0,0,0,0,0,1
SG,1966,0,0,0,0,1,0,0,1
SO,1966,1,1,0,0,0,0,1,3
TG,1966,0,1,0,0,0,0,0,1
TI,1966,1,0,0,0,0,0,1,2
UR,1966,0,1,2,0,0,0,0,3
VD,1966,2,0,0,0,1,0,1,4
VS,1966,0,1,0,0,0,0,0,1
ZG,1966,1,0,0,0,0,0,0,1
ZH,1966,1,0,0,1,0,0,0,2
AR,1967,0,1,0,0,0,0,0,1
BL,1967,0,1,0,1,0,0,0,2
BS,1967,0,2,0,0,0,0,0,2
FR,1967,0,0,0,2,0,0,2,4
GE,1967,0,1,0,1,1,0,0,3
GR,1967,1,0,0,0,0,0,0,1
LU,1967,0,0,0,0,0,0,1,1
NE,1967,0,1,0,0,0,0,0,1
NW,1967,0,0,0,2,0,0,0,2
SG,1967,2,0,0,0,0,1,0,3
SH,1967,1,0,0,0,0,0,0,1
SO,1967,0,0,1,0,0,0,0,1
SZ,1967,0,1,0,1,0,0,0,2
VD,1967,2,1,0,0,0,0,1,4
VS,1967,1,0,0,0,0,0,0,1
ZG,1967,0,1,0,0,0,0,0,1
AG,1968,1,0,2,0,0,0,0,3
BE,1968,0,0,0,0,0,1,0,1
BL,1968,0,1,0,0,0,0,0,1
BS,1968,3,1,0,1,0,0,1,6
GE,1968,1,2,0,0,1,1,0,5
LU,1968,0,0,0,0,1,0,0,1
NE,1968,0,0,1,1,0,0,0,2
NW,1968,0,0,0,0,1,0,0,1
SG,1968,1,0,1,0,0,0,0,2
SH,1968,0,0,1,1,0,0,0,2
SO,1968,1,0,0,1,0,0,0,2
SZ,1968,1,0,0,0,0,0,0,1
TI,1968,0,1,0,0,0,0,0,1
VD,1968,0,0,0,0,1,0,0,1
AG,1969,0,1,0,3,0,0,0,4
AR,1969,1,1,0,0,0,0,0,2
FR,1969,0,1,0,0,0,0,0,1
GE,1969,0,1,0,0,0,1,0,2
NW,1969,2,1,0,0,0,0,0,3
SZ,1969,1,0,0,0,0,0,0,1
TI,1969,0,0,0,0,1,0,0,1
VD,1969,0,0,0,1,0,0,2,3
VS,1969,0,0,0,0,1,0,0,1
ZG,1969,1,0,0,0,0,0,0,1
ZH,1969,1,0,0,0,0,0,0,1
BL,1970,1,0,0,0,0,0,0,1
GE,1970,0,0,0,0,0,0,1,1
GR,1970,0,1,0,0,0,0,0,1
LU,1970,2,0,0,1,0,0,0,3
NE,1970,0,0,1,0,0,0,1,2
SG,1970,0,0,1,0,0,0,0,1
SH,1970,0,1,0,0,0,0,0,1
SO,1970,1,0,0,0,0,0,1,2
SZ,1970,3,0,0,0,0,2,0,5
TG,1970,1,0,0,0,0,0,1,2
TI,1970,0,0,0,1,0,0,0,1
UR,1970,1,1,0,0,0,0,0,2
VD,1970,3,0,0,0,2,0,0,5
ZG,1970,0,1,0,0,0,0,0,1
ZH,1970,0,0,1,0,0,0,0,1
AG,1971,1,1,0,0,0,0,0,2
AI,1971,0,0,1,0,0,0,0,1
BE,1971,0,1,0,0,0,0,1,2
BL,1971,0,0,0,0,0,1,0,1
BS,1971,0,0,1,1,1,0,0,3
FR,1971,0,0,1,0,0,0,1,2
GE,1971,0,0,1,0,0,1,0,2
GL,1971,0,0,1,1,1,0,1,4
GR,1971,0,1,0,0,0,0,0,1
NE,1971,0,0,0,1,0,0,0,1
NW,1971,2,0,0,0,1,0,0,3
SG,1971,1,1,1,1,0,1,0,5
SH,1971,1,0,1,0,0,0,0,2
TG,1971,0,1,0,0,0,0,0,1
TI,1971,0,0,0,1,0,0,1,2
UR,1971,0,0,0,1,1,0,0,2
VD,1971,0,0,0,0,0,0,1,1
ZG,1971,0,1,0,0,0,0,0,1
ZH,1971,1,1,1,0,1,0,0,4
AR,1972,0,0,0,1,0,0,0,1
BL,1972,1,0,0,0,0,0,0,1
BS,1972,1,0,0,0,0,0,0,1
FR,1972,1,0,0,1,0,0,0,2
GL,1972,1,0,1,0,0,0,0,2
LU,1972,1,0,0,0,0,0,0,1
NE,1972,1,2,0,0,0,0,0,3
NW,1972,0,1,0,1,0,0,0,2
OW,1972,3,0,0,0,0,0,0,3
SO,1972,3,0,0,0,0,0,0,3
SZ,1972,0,1,1,1,0,1,0,4
TI,1972,0,1,0,0,0,0,0,1
VD,1972,0,0,0,0,0,0,2,2
VS,1972,0,0,0,1,0,0,0,1
ZG,1972,0,0,1,0,0,0,0,1
AG,1973,0,0,0,0,0,1,0,1
BE,1973,0,1,0,1,0,0,0,2
BL,1973,0,2,0,0,0,0,0,2
BS,1973,2,0,0,1,0,0,0,3
FR,1973,0,0,0,0,0,0,1,1
GE,1973,1,0,1,1,0,1,1,5
GL,1973,1,1,2,0,0,0,0,4
LU,1973,2,0,0,1,0,0,0,3
NE,1973,0,0,1,0,0,0,0,1
NW,1973,1,0,0,1,0,0,0,2
OW,1973,0,1,0,1,0,1,0,3
SG,1973,0,0,0,1,0,0,0,1
SO,1973,1,0,0,0,0,0,0,1
SZ,1973,0,0,2,1,0,0,0,3
TI,1973,1,1,2,0,0,0,0,4
VD,1973,1,1,1,0,1,1,4,9
ZG,1973,0,0,0,0,0,1,0,1
ZH,1973,0,1,0,0,0,0,0,1
AR,1974,0,1,0,0,0,0,0,1
BE,1974,0,0,0,0,0,1,0,1
BL,1974,0,0,0,0,0,1,0,1
BS,1974,0,0,0,1,0,0,0,1
FR,1974,0,0,0,1,0,0,0,1
GE,1974,0,0,0,0,0,1,0,1
