DATAFLOW,CANTON,DOMAIN,TIME_PERIOD,OBS_VALUE
SLC:DF_CONCORDATS(1.0),BS,infra,1964,1
SLC:DF_CONCORDATS(1.0),GE,eco,1964,1
SLC:DF_CONCORDATS(1.0),GE,infra,1964,1
SLC:DF_CONCORDATS(1.0),LU,educ,1964,1
SLC:DF_CONCORDATS(1.0),SG,fin,1964,1
SLC:DF_CONCORDATS(1.0),SG,sante,1964,1
SLC:DF_CONCORDATS(1.0),SO,eco,1964,1
SLC:DF_CONCORDATS(1.0),SZ,educ,1964,1
SLC:DF_CONCORDATS(1.0),TG,sante,1964,1
SLC:DF_CONCORDATS(1.0),VD,eco,1964,1
SLC:DF_CONCORDATS(1.0),ZH,fin,1964,1
SLC:DF_CONCORDATS(1.0),BS,fin,1965,1
SLC:DF_CONCORDATS(1.0),LU,fin,1965,1
SLC:DF_CONCORDATS(1.0),SG,fin,1965,2
SLC:DF_CONCORDATS(1.0),TI,fin,1965,1
SLC:DF_CONCORDATS(1.0),SG,fin,1966,1
SLC:DF_CONCORDATS(1.0),ZG,fin,1966,1
SLC:DF_CONCORDATS(1.0),AG,infra,1967,1
SLC:DF_CONCORDATS(1.0),AI,etat,1967,1
SLC:DF_CONCORDATS(1.0),AR,etat,1967,1
SLC:DF_CONCORDATS(1.0),AR,fin,1967,1
SLC:DF_CONCORDATS(1.0),AR,infra,1967,2
SLC:DF_CONCORDATS(1.0),BL,etat,1967,1
SLC:DF_CONCORDATS(1.0),BS,etat,1967,1
SLC:DF_CONCORDATS(1.0),LU,fin,1967,1
SLC:DF_CONCORDATS(1.0),NW,etat,1967,1
SLC:DF_CONCORDATS(1.0),SG,fin,1967,1
SLC:DF_CONCORDATS(1.0),SG,infra,1967,4
SLC:DF_CONCORDATS(1.0),SH,fin,1967,1
SLC:DF_CONCORDATS(1.0),SO,infra,1967,1
SLC:DF_CONCORDATS(1.0),TG,infra,1967,3
SLC:DF_CONCORDATS(1.0),ZH,infra,1967,1
SLC:DF_CONCORDATS(1.0),FR,eco,1968,2
SLC:DF_CONCORDATS(1.0),GE,sante,1968,1
SLC:DF_CONCORDATS(1.0),GR,educ,1968,2
SLC:DF_CONCORDATS(1.0),SG,educ,1968,1
SLC:DF_CONCORDATS(1.0),SO,etat,1968,1
SLC:DF_CONCORDATS(1.0),SZ,infra,1968,1
SLC:DF_CONCORDATS(1.0),TG,fin,1968,1
SLC:DF_CONCORDATS(1.0),VD,eco,1968,1
SLC:DF_CONCORDATS(1.0),VD,educ,1968,1
SLC:DF_CONCORDATS(1.0),VD,fin,1968,1
SLC:DF_CONCORDATS(1.0),ZH,infra,1968,1
SLC:DF_CONCORDATS(1.0),AI,autres,1969,1
SLC:DF_CONCORDATS(1.0),AI,etat,1969,1
SLC:DF_CONCORDATS(1.0),AI,fin,1969,1
